team id,link name,colour,team name,full,logo,team flag,d1flag,d2flag,photo1,photo2,photo3,photo4,entry year,base location,current chassis,team principal,power unit,best season,cpoints,spoints,constructors championships,team bio
1,alpine,sky-600,Alpine,BWT Alpine F1 Team,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/alpine",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/france-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/france-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/france-flag.png,https://www.motorsinside.com/images/photo/article/f12024/insta/alpine-pierre-gasly-presentation.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/07/NINTCHDBPICT000829469557.jpg,https://formu1a.uno/wp-content/uploads/2023/09/Gasly-Ocon-Japan.jpg,https://www.si.com/.image/t_share/MTkzMTIwOTQ2NjU0MDI5MzY1/310556254_1464119250737683_8979050556368253838_n.jpg,1986,"Enstone, United Kingdom",A524,Oliver Oakes,Renault,w,0,13,w,"Alpine may be a relatively new name to Formula 1, but Renault’s famous sportscar arm has plenty of motorsport heritage. The 2021 rebrand of the team marked the next step in Renault’s F1 revival, begun in 2016 with the takeover of the then-Lotus squad. Already race winners in their new guise, regular podiums and a tilt at the title must be their next target…

2023
Fall to a lonely sixth in the standings amid some major mid-season management changes. Esteban Ocon and Pierre Gasly prove closely matched, each scoring a podium, in Monaco and Zandvoort respectively.

2022
No podiums, but outperform arch rivals McLaren to rise to P4 in the final standings. Fernando Alonso, frustrated by reliability woes, departs at season's end for Aston Martin, to be replaced in 2023 by Pierre Gasly, forming all-French driver line-up with Esteban Ocon.

2021
A maiden F1 win for the Alpine name comes in Hungary courtesy of Esteban Ocon, aided by a staunch defence against a charging Lewis Hamilton from team mate Fernando Alonso, who also finishes on the podium in Qatar.

2020
Three podium finishes – the first since Renault’s works return – signal a significant step forward ahead of the team’s Alpine rebrand, and Fernando Alonso’s comeback, for 2021.

2019
Progress up the championship order is halted, ironically by new Renault customers McLaren, who demote them to fifth in the standings, despite Daniel Ricciardo securing their best result to date with P4 in Italy."
2,aston-martin,emerald-600,Aston Martin,Aston Martin Aramco F1 Team,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/aston%20martin%202024",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/spain-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/canada-flag.png,w,w,w,w,2018,"Silverstone, United Lingdom",w,w,w,w,0,74,w,w
3,ferrari,red-600,Ferrari,Scuderia Ferrari,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/ferrari",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/italy-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/monaco-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/spain-flag.png,w,w,w,w,1950,"Maranello, Italy",w,w,w,w,0,370,w,w
4,haas,gray-400,Haas,MoneyGram Haas F1 Team,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/haas",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/germany-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/denmark-flag.png,w,w,w,w,2016,"Kannapolis, United States",VF-24,Ayao Komatsu,Ferrari,w,0,27,w,w
5,kick-sauber,green-400,Kick Sauber,Stake F1 Team Kick Sauber,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/kick%20sauber",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/switzerland-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/finland-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/china-flag.png,w,w,w,w,1993,"Hinwil, Switzerland",C44,Alessandro Alunni Bravi,Ferrari,w,0,0,0,"Having enjoyed considerable success in world sportscars, where he helped nurture the emerging talents of future F1 stars Michael Schumacher and Heinz-Harald Frentzen, Peter Sauber guided his eponymous squad into F1 in 1993.

The team has since established itself as a mainstay of the grid, becoming race winners under BMW’s brief ownership, and developing a well-earned reputation not only for producing competitive cars, but also for developing young drivers.

In recent seasons they raced under the Alfa Romeo name - and in 2026 will become the works Audi squad - but for 2024 a new title sponsor brings a new identity to the famous Swiss team.

2023
Final season competing under the Alfa Romeo moniker is a disappointing one, as team drop to ninth overall in the constructors’ table. Best results are P8s for Valtteri Bottas in Bahrain and Qatar.

2022
Move up three places in the standings, with Valtteri Bottas relishing his team leader role and rookie Zhou Guanyu more than earning his place. Make the headlines late season with news that the team will become the Audi works squad from 2026.

2021
Fall to ninth in the table behind Williams, with 10 of their 13 points scored by former champion Kimi Raikkonen, who calls time on his F1 career at the end of the season. Prepare all-new line-up of ex-Mercedes racer Valtteri Bottas and Chinese newcomer Zhou Guanyu for 2022.

2020
Another season of infrequent highs – both cars scoring points at their home race of Imola, and both making Q3 in Turkey – again ends with P8 overall, Kimi Raikkonen and Antonio Giovinazzi amassing just eight points between them.

2019
Progress slows, as the C38 proves frustratingly inconsistent, even with the experienced Kimi Raikkonen at the wheel. Nevertheless retain P8 in the standings, 22 of their 57 points coming at the season’s eventful penultimate round in Brazil."
6,mclaren,orange-500,Mclaren,McLaren Formula 1 Team,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/mclaren",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/australia-flag.png,w,w,w,w,1966,w,w,w,w,w,0,404,w,w
7,mercedes,teal-300,Mercedes,Mercedes-AMG PETRONAS F1 Team,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/mercedes",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,w,w,w,w,1970,w,w,w,w,w,0,276,w,w
8,rb-visa-cashapp,blue-400,Rb Visa Cashapp,Visa Cash App RB Formula One Team,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/rb",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/italy-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/australia-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/japan-flag.png,w,w,w,w,1985,w,w,w,w,w,0,34,w,w
9,red-bull,blue-600,Red Bull,Oracle Red Bull Racing,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/red%20bull",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/austria-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/netherlands-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/mexico-flag.png,w,w,w,w,1997,w,w,w,w,w,0,434,w,w
10,williams,sky-300,Williams,Williams Racing,"https://media.formula1.com/image/upload/f_auto,c_limit,q_75,w_1320/content/dam/fom-website/2018-redesign-assets/team%20logos/williams",https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/thailand-flag.png,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-flag.png,w,w,w,w,1978,w,w,w,w,w,0,4,w,w
